noise,mode,seed,failures,failure_rate,correction_budget,latency_ms,final_instability
0.0,continuous_supervision,24.5,0.62,6.2e-05,2567335.06,1990.533180203056,0.015768
0.0,control,24.5,9961.56,0.996156,0.0,1314.9555406230502,0.916564
0.0,event_gated_duj,24.5,913.58,0.091358,765009.5,1995.3103347180877,0.092422
0.0,event_gated_no_cooccurrence,24.5,413.0,0.041299999999999996,1000478.52,1769.5641447993694,0.051314
0.1,continuous_supervision,24.5,0.6,6e-05,4756342.94,2234.332114182762,0.018378000000000002
0.1,control,24.5,9961.56,0.996156,0.0,1339.791573296534,0.916564
0.1,event_gated_duj,24.5,756.9,0.07569,791081.9,2060.295297479024,0.07946
0.1,event_gated_no_cooccurrence,24.5,363.66,0.036366,2779426.26,2055.9769713762216,0.049303999999999994
0.3,continuous_supervision,24.5,0.88,8.800000000000001e-05,8740630.32,2488.5747054213425,0.022831999999999998
0.3,control,24.5,9961.56,0.996156,0.0,1360.150374220102,0.916564
0.3,event_gated_duj,24.5,520.9,0.05209,830278.1,2134.0257586014923,0.059868
0.3,event_gated_no_cooccurrence,24.5,299.9,0.029990000000000003,6468194.02,2355.888485321775,0.049018
0.5,continuous_supervision,24.5,0.96,9.6e-05,12314684.16,2514.580408060574,0.027149999999999997
0.5,control,24.5,9961.56,0.996156,0.0,1375.279380097636,0.916564
0.5,event_gated_duj,24.5,360.42,0.036042,855947.84,2169.5405759406276,0.047714
0.5,event_gated_no_cooccurrence,24.5,249.42,0.024942000000000002,10193994.16,2514.0221743809525,0.05021200000000001
0.7,continuous_supervision,24.5,0.98,9.8e-05,15560567.92,2305.9692612610525,0.031038
0.7,control,24.5,9961.56,0.996156,0.0,1391.3896144222235,0.916564
0.7,event_gated_duj,24.5,258.7,0.02587,872541.22,2155.0692977989092,0.039298
0.7,event_gated_no_cooccurrence,24.5,204.8,0.02048,13927236.48,2382.3323709820397,0.051066
0.85,continuous_supervision,24.5,1.0,0.0001,17814326.96,2096.659964020946,0.033524
0.85,control,24.5,9961.56,0.996156,0.0,1400.5240147793666,0.916564
0.85,event_gated_duj,24.5,201.16,0.020116000000000002,881964.4,2100.1609889010433,0.034752
0.85,event_gated_no_cooccurrence,24.5,170.24,0.017023999999999997,16730207.78,2143.1952363217715,0.051564
0.95,continuous_supervision,24.5,1.12,0.000112,19240819.68,1948.2347736030351,0.035128
0.95,control,24.5,9961.56,0.996156,0.0,1402.9809871979523,0.916564
0.95,event_gated_duj,24.5,168.18,0.016818,887630.54,2067.3972929199226,0.032265999999999996
0.95,event_gated_no_cooccurrence,24.5,146.56,0.014656,18601202.84,1965.759447022574,0.05176
