,,failure_rate,failure_rate,correction_budget,correction_budget,latency_ms,latency_ms,final_instability,final_instability
,,mean,std,mean,std,mean,std,mean,std
noise,mode,,,,,,,,
0.0,continuous_supervision,0.0,0.0,511958.68,1029.1138537992942,1694.5208419201663,3.9600082154726386,9.6e-05,0.0001009344099008897
0.0,control,0.422786,0.005214736184064122,0.0,0.0,1190.1788110408233,0.6591924342760411,0.7605,0.003870400496072719
0.0,event_gated_duj,0.0,0.0,139247.6,435.0556145541694,1852.0031260623364,1.3968682013313696,0.011324,0.0027602543508946156
0.0,event_gated_no_cooccurrence,0.0,0.0,154228.9,801.0853670527985,1612.3534961399855,1.5630226366906195,0.001992,0.001842008664031564
0.1,continuous_supervision,0.0,0.0,2299943.68,1600.1947003986622,1995.4776745382696,0.9532796631750694,7.400000000000001e-05,8.52607046364387e-05
0.1,control,0.422786,0.005214736184064122,0.0,0.0,1224.218417861266,0.5420535429780869,0.7605,0.003870400496072719
0.1,event_gated_duj,0.0,0.0,141876.7,476.0338373327178,1924.282579239225,0.7931499673998524,0.007754,0.002181013619435529
0.1,event_gated_no_cooccurrence,0.0,0.0,2032936.78,1314.5349187652207,1925.941656261566,0.7638969031399816,0.00046,0.0004085814184592883
0.3,continuous_supervision,0.0,0.0,6159210.28,2262.505835283808,2335.6442704598885,1.1124439492269282,7.2e-05,8.815570640309434e-05
0.3,control,0.422786,0.005214736184064122,0.0,0.0,1270.5837050598348,0.6723984688771825,0.7605,0.003870400496072719
0.3,event_gated_duj,0.0,0.0,144725.72,427.7788404380615,1998.2960371370427,0.9160269506415962,0.00375,0.0014561971721170292
0.3,event_gated_no_cooccurrence,0.0,0.0,6010619.78,1804.8747968335879,2288.8842730614124,1.014928141798082,0.000254,0.0001991922463862692
0.5,continuous_supervision,0.0,0.0,10094877.46,2331.290377644717,2505.4250693763606,1.2088346005478836,6.2e-05,8.302937763840223e-05
0.5,control,0.422786,0.005214736184064122,0.0,0.0,1304.584354540566,0.674194679491239,0.7605,0.003870400496072719
0.5,event_gated_duj,0.0,0.0,146011.84,444.38677582777956,2032.5383815000532,0.9911608541258176,0.002132,0.0009479171581818265
0.5,event_gated_no_cooccurrence,0.0,0.0,10002688.5,2202.4577667431154,2467.3789116804255,1.1022150329176719,0.00020400000000000003,0.00015113178463357937
0.7,continuous_supervision,0.0,0.0,14048476.56,2071.3644537859172,2347.0794984546956,1.189462896722732,5.800000000000001e-05,6.727949622466638e-05
0.7,control,0.422786,0.005214736184064122,0.0,0.0,1326.3208914198913,0.7652169777865656,0.7605,0.003870400496072719
0.7,event_gated_duj,0.0,0.0,146516.3,450.4719180810196,1993.4547449782258,1.0095142119024414,0.0015060000000000002,0.0005828886546103548
0.7,event_gated_no_cooccurrence,0.0,0.0,13996411.94,1851.0897552635226,2309.194364520372,2.591023536128649,0.000156,0.0001311798889514171
0.85,continuous_supervision,0.0,0.0,17018231.58,1419.8510426336952,2087.6876916585024,1.2436282120655566,5.800000000000001e-05,6.727949622466638e-05
0.85,control,0.422786,0.005214736184064122,0.0,0.0,1329.5146928814938,1.6355246861035895,0.7605,0.003870400496072719
0.85,event_gated_duj,0.0,0.0,146695.96,454.9168553770246,1933.5140699381009,0.8545769374821773,0.0013020000000000002,0.0003419571521076157
0.85,event_gated_no_cooccurrence,0.0,0.0,16992496.72,1368.019259918958,2050.7918033207534,0.5774090860552266,0.000138,0.00012103296902842933
0.95,continuous_supervision,0.0,0.0,18999260.64,902.4814263452907,1896.5372485178523,1.1361689709336171,5.6e-05,6.749149606295838e-05
0.95,control,0.422786,0.005214736184064122,0.0,0.0,1328.8362302212045,0.6236029708141647,0.7605,0.003870400496072719
0.95,event_gated_duj,0.0,0.0,146768.2,447.15157453848724,1893.1302386813331,1.6197635416696046,0.001202,0.00036894222765487117
0.95,event_gated_no_cooccurrence,0.0,0.0,18989786.46,792.6564536224239,1857.151090282132,0.6288220501798255,0.000132,0.00010583005244258362
